ProductID	ProductName	ProductDescription	ReviewAverage	HTMLoutput
Bat duck	test	eerstetest	0	<div class='reviewHeader'>    <a href='https://docs.google.com/forms/d/e/1FAIpQLSeyIh7aT-knRiInv46M9P48kAhQANf74R3V7lC64mIhJqNErQ/viewform?usp=pp_url&entry.117829278=Bat duck'  target='_blank'>        Leave a review    </a>    <br>    <span class='averageRatingLeader'>      average rating:    </span>    <span class='averageRating'>            </span></div>
Bride duck	test2	tweedetest	0	<div class='reviewHeader'>    <a href='https://docs.google.com/forms/d/e/1FAIpQLSeyIh7aT-knRiInv46M9P48kAhQANf74R3V7lC64mIhJqNErQ/viewform?usp=pp_url&entry.117829278=Bride duck'  target='_blank'>        Leave a review    </a>    <br>    <span class='averageRatingLeader'>      average rating:    </span>    <span class='averageRating'>            </span></div>
Devil duck			0	<div class='reviewHeader'>    <a href='https://docs.google.com/forms/d/e/1FAIpQLSeyIh7aT-knRiInv46M9P48kAhQANf74R3V7lC64mIhJqNErQ/viewform?usp=pp_url&entry.117829278=Devil duck'  target='_blank'>        Leave a review    </a>    <br>    <span class='averageRatingLeader'>      average rating:    </span>    <span class='averageRating'>            </span></div>
Groom duck			0	<div class='reviewHeader'>    <a href='https://docs.google.com/forms/d/e/1FAIpQLSeyIh7aT-knRiInv46M9P48kAhQANf74R3V7lC64mIhJqNErQ/viewform?usp=pp_url&entry.117829278=Groom duck'  target='_blank'>        Leave a review    </a>    <br>    <span class='averageRatingLeader'>      average rating:    </span>    <span class='averageRating'>            </span></div>
Harry Potter duck			0	<div class='reviewHeader'>    <a href='https://docs.google.com/forms/d/e/1FAIpQLSeyIh7aT-knRiInv46M9P48kAhQANf74R3V7lC64mIhJqNErQ/viewform?usp=pp_url&entry.117829278=Harry Potter duck'  target='_blank'>        Leave a review    </a>    <br>    <span class='averageRatingLeader'>      average rating:    </span>    <span class='averageRating'>            </span></div>
Rubber duck			0	<div class='reviewHeader'>    <a href='https://docs.google.com/forms/d/e/1FAIpQLSeyIh7aT-knRiInv46M9P48kAhQANf74R3V7lC64mIhJqNErQ/viewform?usp=pp_url&entry.117829278=Rubber duck'  target='_blank'>        Leave a review    </a>    <br>    <span class='averageRatingLeader'>      average rating:    </span>    <span class='averageRating'>            </span></div>
Santa duck			0	<div class='reviewHeader'>    <a href='https://docs.google.com/forms/d/e/1FAIpQLSeyIh7aT-knRiInv46M9P48kAhQANf74R3V7lC64mIhJqNErQ/viewform?usp=pp_url&entry.117829278=Santa duck'  target='_blank'>        Leave a review    </a>    <br>    <span class='averageRatingLeader'>      average rating:    </span>    <span class='averageRating'>            </span></div>
Shakespreare duck			0	<div class='reviewHeader'>    <a href='https://docs.google.com/forms/d/e/1FAIpQLSeyIh7aT-knRiInv46M9P48kAhQANf74R3V7lC64mIhJqNErQ/viewform?usp=pp_url&entry.117829278=Shakespreare duck'  target='_blank'>        Leave a review    </a>    <br>    <span class='averageRatingLeader'>      average rating:    </span>    <span class='averageRating'>            </span></div>
Snow duck			0	<div class='reviewHeader'>    <a href='https://docs.google.com/forms/d/e/1FAIpQLSeyIh7aT-knRiInv46M9P48kAhQANf74R3V7lC64mIhJqNErQ/viewform?usp=pp_url&entry.117829278=Snow duck'  target='_blank'>        Leave a review    </a>    <br>    <span class='averageRatingLeader'>      average rating:    </span>    <span class='averageRating'>            </span></div>
Spider web duck			0	<div class='reviewHeader'>    <a href='https://docs.google.com/forms/d/e/1FAIpQLSeyIh7aT-knRiInv46M9P48kAhQANf74R3V7lC64mIhJqNErQ/viewform?usp=pp_url&entry.117829278=Spider web duck'  target='_blank'>        Leave a review    </a>    <br>    <span class='averageRatingLeader'>      average rating:    </span>    <span class='averageRating'>            </span></div>
Trump duck			0	<div class='reviewHeader'>    <a href='https://docs.google.com/forms/d/e/1FAIpQLSeyIh7aT-knRiInv46M9P48kAhQANf74R3V7lC64mIhJqNErQ/viewform?usp=pp_url&entry.117829278=Trump duck'  target='_blank'>        Leave a review    </a>    <br>    <span class='averageRatingLeader'>      average rating:    </span>    <span class='averageRating'>            </span></div>
Xmas-tree duck			0	<div class='reviewHeader'>    <a href='https://docs.google.com/forms/d/e/1FAIpQLSeyIh7aT-knRiInv46M9P48kAhQANf74R3V7lC64mIhJqNErQ/viewform?usp=pp_url&entry.117829278=Xmas-tree duck'  target='_blank'>        Leave a review    </a>    <br>    <span class='averageRatingLeader'>      average rating:    </span>    <span class='averageRating'>            </span></div>
